Quelle;Kategorie;Eingabe_Rohbegriff;Zielbegriff_Normalisiert
mappings.py;PRODUKT_GT_MAPPING;Hydrofaser / Hydrofiber, Wundkontaktschichten (Silikon/Paraffin), Bei bakterieller Belastung: silberhaltige Varianten kurzfristig;Hydrofaser / Hydrofiber, Wundkontaktschichten (Silikon/Paraffin)
mappings.py;PRODUKT_GT_MAPPING;Alginate, Hydrofaser / Hydrofiber, bei kritischer Kolonisation silberhaltige Varianten erwägen;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Hydrofaser / Hydrofiber, Schaumstoffverbände (Foam), Silber-Schaumverbände;Hydrofaser / Hydrofiber, Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;Hydrofaser / Hydrofiber, Bei Infektionsverdacht silberhaltige Varianten, Schaumstoffverbände (Foam);Hydrofaser / Hydrofiber, Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;Schaumstoffverbände (Foam), silberhaltige Verbrennungsauflagen;Schaumstoffverbände (Foam)
mappings.py;PRODUKT_GT_MAPPING;antiseptische Wundauflagen --> Silber PHMB-haltige Produkte;PHMB-haltige Wundauflagen
mappings.py;PRODUKT_GT_MAPPING;Silberhydrofaser oder Silberalginat;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Silberalginate, Silberhydrofaser;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Silberhydrofaser, Silberalginat;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Silberhydrofaser, antimikrobielle Alginate;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;silberhydrofaser/Silberalginat bei kritischer Kolonisation;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Silberalginat, antimikrobielle Alginate ggf. PHMB-haltige Wundauflagen;Alginate, PHMB-haltige Wundauflagen
mappings.py;PRODUKT_GT_MAPPING;Bei feuchten/infizierten Bereichen: Silberhydrofaser Silberalginat antimikrobielle Wundauflagen.;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Bei feuchten/infizierten Bereichen: Silberhydrofaser Silberalginat antimikrobielle Wundauflagen;Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Bei kritischer Kolonisation: Silberhydrofaser kurzfristig, Hydrogele (Kompresse);Hydrofaser / Hydrofiber, Hydrogele (Kompresse)
mappings.py;PRODUKT_GT_MAPPING;Bei kritischer Kolonisation: Silberhydrofaser kurzfristig;Hydrofaser / Hydrofiber
mappings.py;PRODUKT_GT_MAPPING;Alginate bei stärker exsudierend;Alginate
mappings.py;PRODUKT_GT_MAPPING;ggf. Hydrogel bei trockeneren Belägen;Hydrogele (Kompresse)
mappings.py;PRODUKT_GT_MAPPING;Alginate, Hydrofaser / Hydrofiber, Superabsorber, ggf. Unterdrucktherapie (NPWT/VAC) nach Nekrosensanierung;Alginate, Hydrofaser / Hydrofiber, Superabsorber
mappings.py;PRODUKT_GT_MAPPING;PHMB-haltige Auflagen;PHMB-haltige Wundauflagen
mappings.py;PRODUKT_GT_MAPPING;PHMB-haltige Wundauflagen;PHMB-haltige Wundauflagen
mappings.py;PRODUKT_GT_MAPPING;antimikrobielle Alginate ggf. PHMB-haltige Wundauflagen;Alginate, PHMB-haltige Wundauflagen
mappings.py;PRODUKT_GT_MAPPING;trockene sterile Schutzverbände, atraumatische Kontaktlagen, keine aggressive Befeuchtung der stabilen Nekrose;trockene sterile Schutzverbände, Wundkontaktschichten (Silikon/Paraffin)
mappings.py;PRODUKT_GT_MAPPING;Bei trockener Nekrose: trockener Schutzverband atraumatische Kontaktlagen.;trockene sterile Schutzverbände, Wundkontaktschichten (Silikon/Paraffin)
mappings.py;PRODUKT_GT_MAPPING;Bei trockenen Nekrosen: atraumatische trockene Schutzverbände;trockene sterile Schutzverbände
mappings.py;PRODUKT_GT_MAPPING;trockene sterile Abdeckung, atraumatische Schutzverbände, keine aggressive Befeuchtung;trockene sterile Schutzverbände
mappings.py;PRODUKT_GT_MAPPING;Bei trockenen Nekrosen: atraumatische trockene Schutzverbände, Bei feuchten/infizierten Bereichen: Silberhydrofaser Silberalginat antimikrobielle Wundauflagen;trockene sterile Schutzverbände, Hydrofaser / Hydrofiber, Alginate
mappings.py;PRODUKT_GT_MAPPING;Hydrogel bei trockenen Nekroseanteilen, Hydrofaser oder Alginat bei Exsudat;Hydrogele (Kompresse), Hydrofaser / Hydrofiber, Alginate
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Schaumstoffverbände (Foam);Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Schaumstoffverbände;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;dünner PU-Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;atraumatische Schaumverbände;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;saugfähiger Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;atraumatischer Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;absorbierender Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber-Verband;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;stark saugfähige Superabsorber;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber bei stärkerer Sekretion;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Fixiervlies / -pflaster;Fixiervlies / -pflaster
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Elastische Fixierbinden;Elastische Fixierbinden
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Fixierbinden / kohäsive Binden;Fixierbinden / kohäsive Binden
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Nicht erforderlich (selbsthaftender Primärverband);Kein Sekundärverband erforderlich
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;saugfähiger Schaumverband, atraumatische Fixierung;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;absorbierender Schaumverband, atraumatische Fixierung;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;atraumatische Schaumverbände, ggf. Unterdrucktherapie (VAC) nach Débridement;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband, Atraumatische Fixierung;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband, weicher PU-Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Elastische Fixierbinden, dünner PU-Schaumverband;Schaumstoffverbände (Foam), Elastische Fixierbinden
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber, hochabsorbierender PU-Schaumverband;Superabsorber, Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber oder PU-Schaumverband;Superabsorber, Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber weicher PU-Schaumverband;Superabsorber, Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber, hochabsorbierende Schaumverbände;Superabsorber, Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband oder Superabsorber;Superabsorber, Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;absorbierender Schaumverband, Superabsorber bei stärkerer Sekretion;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband Superabsorber bei stärkerem Exsudat;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband oder Superabsorber bei stärkerer Exsudation;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband, bei stärkerem Exsudat: Superabsorber;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband oder kleiner Superabsorber bei stärkerer Sekretion;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;PU-Schaumverband, Superabsorber bei stärkerer Sekretion;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;kleiner PU-Schaumverband oder weicher Superabsorber bei stärkerer Exsudation;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Superabsorber ergänzen;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Sterile Saugkompressen / Polsterung;Sterile Saugkompressen / Polsterung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband,absorbierende sterile Sekundärauflagen;Schaumstoffverbände (Foam), Sterile Saugkompressen / Polsterung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;silikonisierter Schaumverband, absorbierende sterile Auflagen;Schaumstoffverbände (Foam), Sterile Saugkompressen / Polsterung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher absorbierender Schaumverband sterile Saugkompressen;Schaumstoffverbände (Foam), Sterile Saugkompressen / Polsterung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband, sterile Polsterung;Schaumstoffverbände (Foam), Sterile Saugkompressen / Polsterung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;silikonisierter Schaumverband, absorbierender PU-Schaumverband;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband, druckentlastende Polsterung;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband druckreduzierende Polsterung;Schaumstoffverbände (Foam)
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;weicher PU-Schaumverband, druckreduzierende Polsterung, ggf. Superabsorber;Schaumstoffverbände (Foam), Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Sekundär: Superabsorber + Fixier-/Kompressionssystem;Superabsorber
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;abhängig von der Kompressionstherapie;abhängig von Kompressionstherapie
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;abhängig von Kompressionstherapie;abhängig von Kompressionstherapie
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;über Kompression;abhängig von Kompressionstherapie
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;Kompressionstherapie;abhängig von Kompressionstherapie
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;kommt auf die Kompression an;abhängig von Kompressionstherapie
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;abhängig von Druckentlastung;abhängig von Druckentlastung
mappings.py;SEKUNDAERVERBAND_GT_MAPPING;abhängig von der Druckentlastung;abhängig von Druckentlastung
mappings.py;SPELLING_MAPPING;ulcus;ulkus
mappings.py;SPELLING_MAPPING;decubitus;dekubitus
mappings.py;SPUELLOESUNG_GT_MAPPING;Neutrale Spüllösung (NaCl 0,9 % / Ringer-Lösung);Neutrale Spüllösung (NaCl 0,9 % / Ringer-Lösung)
mappings.py;SPUELLOESUNG_GT_MAPPING;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit);Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;Neutrale Spüllösung (NaCl, Ringer);Neutrale Spüllösung (NaCl 0,9 % / Ringer-Lösung)
mappings.py;SPUELLOESUNG_GT_MAPPING;Antimikrobielle Spüllösung (PHMB, Octenisept);Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;PHMB oder Octenidin zeitlich begrenzt;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;Bei kritischer Kolonisation: PHMB oder Octenidin zeitlich begrenzt;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;bei kritischer Kolonisation: PHMB oder Octenidin zeitlich begrenzt;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;bei kritischer Kolonisation: PHMB/Octenidin;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;bei kritischer Kolonisation: mit PHMB/Octenidin;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;SPUELLOESUNG_GT_MAPPING;Antiseptika nur gezielt bei: Infektionszeichen, kritischer Kolonisation;Antimikrobielle Spüllösung (PHMB / Octenidin / Hypochlorit)
mappings.py;WUNDRAND_GT_MAPPING;"[""Epibolie (eingerollter Wundrand)"",""Gerötet / entzündlich"",""Mazeriert""]";Epibolie (eingerollter Wundrand), Gerötet / entzündlich, Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Epibolie (eingerollter Wundrand)"",""Gerötet / entzündlich""]";Epibolie (eingerollter Wundrand), Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Epibolie (eingerollter Wundrand)"",""Mazeriert""]";Epibolie (eingerollter Wundrand), Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Epibolie (eingerollter Wundrand)""]";Epibolie (eingerollter Wundrand)
mappings.py;WUNDRAND_GT_MAPPING;"[""Gelbliche fibrinöse Randbeläge""]";
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""Epibolie (eingerollter Wundrand)""]";Epibolie (eingerollter Wundrand), Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""Mazeriert"",""Unterminiert (Wundtaschen)""]";Gerötet / entzündlich, Mazeriert, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""Mazeriert""]";Gerötet / entzündlich, Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""Taschenbildung möglich""]";Gerötet / entzündlich, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""Unterminiert (Wundtaschen)""]";Gerötet / entzündlich, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""glänzende, ödematöse Haut""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""livid-erythematöse Hautveränderungen""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""relativ scharf begrenzte Wundränder""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""unregelmäßige Wundränder""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich"",""unregelmäßigen Rändern""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Gerötet / entzündlich""]";Gerötet / entzündlich
mappings.py;WUNDRAND_GT_MAPPING;"[""Hyperkeratotisch"",""Gerötet / entzündlich""]";Gerötet / entzündlich, Hyperkeratotisch
mappings.py;WUNDRAND_GT_MAPPING;"[""Hyperkeratotisch""]";Hyperkeratotisch
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Epibolie (eingerollter Wundrand)"",""Gerötet / entzündlich""]";Epibolie (eingerollter Wundrand), Gerötet / entzündlich, Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Epibolie (eingerollter Wundrand)""]";Epibolie (eingerollter Wundrand), Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Gerötet / entzündlich"",""Epibolie (eingerollter Wundrand)""]";Epibolie (eingerollter Wundrand), Gerötet / entzündlich, Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Gerötet / entzündlich"",""Unterminiert (Wundtaschen)""]";Gerötet / entzündlich, Mazeriert, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Gerötet / entzündlich""]";Gerötet / entzündlich, Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Unterminiert (Wundtaschen)"",""Gerötet / entzündlich""]";Gerötet / entzündlich, Mazeriert, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""Unterminiert (Wundtaschen)""]";Mazeriert, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert"",""teilweise aufgequollen""]";Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Mazeriert""]";Mazeriert
mappings.py;WUNDRAND_GT_MAPPING;"[""Reizlos / unauffällig""]";Reizlos / unauffällig
mappings.py;WUNDRAND_GT_MAPPING;"[""Unterminiert (Wundtaschen)"",""Epibolie (eingerollter Wundrand)""]";Epibolie (eingerollter Wundrand), Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Unterminiert (Wundtaschen)"",""Gerötet / entzündlich""]";Gerötet / entzündlich, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Unterminiert (Wundtaschen)"",""Mazeriert""]";Mazeriert, Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""Unterminiert (Wundtaschen)""]";Unterminiert (Wundtaschen)
mappings.py;WUNDRAND_GT_MAPPING;"[""scharf begrenzt, teils livide/verfärbt, ischämietypisch""]";Reizlos / unauffällig
mappings.py;WUNDTYP_GT_MAPPING;Ausgedehnte feuchte Nekrose;Ausgedehnte feuchte Nekrose
mappings.py;WUNDTYP_GT_MAPPING;Ausgetrtenes Blut oder Lymphe aus den entsprechenden Gefäßen mit Verteilung an der betroffenen Extremität;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;"Dekubitus Grad 2 oder 3 nach EPUAP.
Nicht genau zu definieren, ob sich Unterminierungen vorhanden sind.";Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus an der Ferse;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus epuap Stadium 3 / 4;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus mit Nekrose;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus mit Taschenbildung;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus sacralbereich;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubitus, vermutlich am Außenknöchel;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Dekubtis im Sakralbereich, großflächig;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Fersendekubitus;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Fersenulcus / eventuell Mischulcus;Ulcus cruris mixtum
mappings.py;WUNDTYP_GT_MAPPING;Fibrinbelegtes Ulcus;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Fibringbelegtes Ulcus;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Hypergranulation nach Verbrennung;Verbrennungswunde
mappings.py;WUNDTYP_GT_MAPPING;"Hämangiom ist ein Spezialgebiet. In der Regel ist dieses innerhalb des ersten Lebensjahres rückläufig.
Deshalb nehme ich hier keine Beurteilung vor.";"Hämangiom ist ein Spezialgebiet. In der Regel ist dieses innerhalb des ersten Lebensjahres rückläufig.
Deshalb nehme ich hier keine Beurteilung vor."
mappings.py;WUNDTYP_GT_MAPPING;Infizierte Wunden am linken Oberarm / Innenseitig;Infizierte Wunden am linken Oberarm / Innenseitig
mappings.py;WUNDTYP_GT_MAPPING;Infiziertes Ulcus mit freiliegender Sehne;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Oberflächliches Ulcus;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Oberflächliches Ulcus (diffuse Defekte);Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Plantares Ulcus linker Fuß, Ursachen Klärung notwendig, bei Diabetiker Prüfung ob Neuropathisch oder Angiopathische Ursache;Plantares Ulcus linker Fuß, Ursachen Klärung notwendig, bei Diabetiker Prüfung ob Neuropathisch oder Angiopathische Ursache
mappings.py;WUNDTYP_GT_MAPPING;Platzbauch nach möglichem chirurgischen Eingriff;Postoperative Wunde / Dehiszenz
mappings.py;WUNDTYP_GT_MAPPING;Postoperative Wunde abdominal;Postoperative Wunde / Dehiszenz
mappings.py;WUNDTYP_GT_MAPPING;Taschenbildendes Ulcus am linken Fußrücken;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;"Teils nekrotisches Ulcus an der linken Ferse.
plantares Ulcus belegt mit Infektionszeichen";Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcera rechter Fuß. könnte ursächlich diabetischer Fuß sein ( Neuropathie, Angiopathie) oder arterielles ulcus schäden auf Grund fehlender Durchblutung;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcerationen bedingt durch Vaskulitis- Form der rheumatischen Erkrankung ( Autoimmunerkrankung);Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus / warsch. Ulcus cruris, Ursache nicht klar, muss bestimmt werden;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus Dekubitus;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus Dekubitus Bereich OS Sacrum;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus Dekubitus Epuap Grad 3 / 4;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus Dekubitus nach Epuap Grad 2 bis 3;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus Ursache nicht genau definierbar;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus am Fussrücken;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus am Unterschenkel medial;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus an der Achillessehne;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus auf Grund von Mangeldurchblutung. Könnte diabetischer Fuß sein / angiopathisch bedingt.;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus auf Grund von Mangelernährung des Gewebes, Druckschäden in Kombination mit Gefäßschäden;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris  unklarer Ursache;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris /  Gravitationsulcus: Ulcus cruris venosum;Ulcus cruris venosum
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris li lateraler Malleolus;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris möglich arteriell oder mixtum;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus cruris venosum;Ulcus cruris venosum
mappings.py;WUNDTYP_GT_MAPPING;Ulcus decubitus;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus decubitus Nach Epuap Grad 2 bis 3;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus dekubitus;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus dekubitus Ferse,  Stadium 3 / 4;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulcus lokal abgegrenzt. belegt könnte ebenso nekrotisch sein;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus mit Stauung;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus mit scheinender Hypergranulation oberhalb der Achillessehne;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus nach Meshgraft (zumindest lässt die Struktur darauf schließen), eventuell ist die Struktur aber einer Unterdrucktherapie geschuldet;Postoperative Wunde / Dehiszenz
mappings.py;WUNDTYP_GT_MAPPING;Ulcus nach Stich;Traumatische Wunde
mappings.py;WUNDTYP_GT_MAPPING;Ulcus unbekannter Herkunft, könnte traumatologisch bedingte Wunde sein, durch die Wunde bei unsachgemäßer Versorgung entstehen ulcerationen ebenfalls, nicht immer Krankheitsbedingt;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus unklarer Genese;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus unklarer Genese am Bein genaue Lokalisation nicht beurteilbar;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;"Ulcus unklarer Genese, könnte Venös oder arteriell oder mixum sein.
Beachte kleine Nekrose an der Ferse plantar";Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus unklarer Genese, könnte diabet. Ulcus sein, möglich ebenso durch traumatologische Ursachen;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus, Lokalisation am Bein nicht genau definierbar;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus, bei vermutetem Diabetes;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulcus, durch die Mangelernährung ( keine Durchblutung) im Wundgebiet  könnte es sich um einen Dekubitus oder ulcus cruris handeln.;Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;"Ulcus. Ursache klären sollte es ein diabet. Fuß sein dann Prüfung ob angiopathisch oder neuropathisch,
Druckentlastung und Ursachenbeseitigung.";Ulkus (Ätiologie unspezifisch)
mappings.py;WUNDTYP_GT_MAPPING;Ulkus Dekubitus am Os sacrum  nach Epuap Grad 2 / 3;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Ulkus an der Ferse, warsch. Dekubitus nach EPUAP  Stadium 3;Dekubitus
mappings.py;WUNDTYP_GT_MAPPING;Verbrennung 2 und 3 Grades nach 9 er Regel etwa 9 % Körperoberfläche;Verbrennungswunde
